contratoconvenio_saida;numero_empenho;data_registro_doc_empenho;razao_social_credor;cnpj_cpf_credor_formatado;unidade_orcamentaria_sigla;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_liquidada;valor_pago_processado;valor_pago_nao_processado
9041311;178;2017-11-06 00:00:00;PM ESMERALDAS;18.715.466/0001-39;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;41;CONTRIBUICOES;1;CONTRIBUICOES;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;0,0;0,0;0,0
9046752;2052;2015-12-04 00:00:00;PM ITAMBACURI;18.404.855/0001-43;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;30000,0;0,0
9046771;2056;2015-12-04 00:00:00;PM BELO ORIENTE;17.005.653/0001-66;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;30000,0;0,0
9046865;2094;2015-12-04 00:00:00;PM FELICIO DOS SANTOS;17.754.201/0001-87;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;30000,0;0,0
9046924;2096;2015-12-04 00:00:00;PM IPUIUNA;18.179.226/0001-67;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;30000,0;0,0
9047314;2108;2015-12-10 00:00:00;PM NOVO CRUZEIRO;18.404.889/0001-38;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;30000,0;0,0
9047342;2106;2015-12-09 00:00:00;PM PERIQUITO;01.613.077/0001-08;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;60000,0;0,0
9049853;492;2015-12-29 00:00:00;IRMANDADE NOSSA SENHORA DAS DORES;20.959.292/0001-00;FES;4291;FUNDO ESTADUAL DE SAUDE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;35999,24;0,0
9049879;668;2015-12-28 00:00:00;PM CONCEICAO DO PARA;18.315.200/0001-07;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9050075;2139;2015-12-29 00:00:00;PM CAXAMBU;18.008.870/0001-72;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;30000,0;0,0
