contratoconvenio_saida;numero_empenho;data_registro_doc_empenho;razao_social_credor;cnpj_cpf_credor_formatado;unidade_orcamentaria_sigla;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_liquidada;valor_pago_processado;valor_pago_nao_processado
9050089;2132;2015-12-29 00:00:00;PM ROCHEDO DE MINAS;18.558.080/0001-60;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;18000,0;0,0
9050091;2131;2015-12-29 00:00:00;PM TOCANTINS;18.128.223/0001-02;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;27000,0;0,0
9050229;703;2015-12-29 00:00:00;PM SAO SEBASTIAO DO OESTE;18.308.734/0001-06;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9050321;535;2015-12-29 00:00:00;PM SANTA MARIA DE ITABIRA;18.299.453/0001-26;FES;4291;FUNDO ESTADUAL DE SAUDE;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;50000,0;0,0
9050548;730;2015-12-30 00:00:00;PM BOM DESPACHO;18.301.002/0001-86;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9050598;955;2015-12-30 00:00:00;CONSORC.PUBLICO INTER.DE SAUDE DA REDE DE URG.EMERG.TRI.NORT;19.455.924/0001-00;FES;4291;FUNDO ESTADUAL DE SAUDE;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9050598;956;2015-12-30 00:00:00;CONSORC.PUBLICO INTER.DE SAUDE DA REDE DE URG.EMERG.TRI.NORT;19.455.924/0001-00;FES;4291;FUNDO ESTADUAL DE SAUDE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9050600;1000;2015-12-30 00:00:00;PM JUVENILIA;01.612.485/0001-37;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9050604;990;2015-12-30 00:00:00;PM TAPARUBA;01.616.741/0001-64;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9050605;1001;2015-12-30 00:00:00;PM PESCADOR;18.404.962/0001-71;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9050680;747;2015-12-30 00:00:00;PM CONCEICAO DA BARRA DE MINAS;18.557.587/0001-08;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9050681;750;2015-12-30 00:00:00;PM OURO BRANCO;18.295.329/0001-92;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9055900;226;2016-06-16 00:00:00;PM LASSANCE;18.279.125/0001-68;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9056023;227;2016-06-16 00:00:00;PM PATIS;01.612.478/0001-35;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9056589;83;2016-06-17 00:00:00;PM GAMELEIRA;01.612.482/0001-01;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9056820;159;2016-06-28 00:00:00;PM AGUAS FORMOSAS;18.404.749/0001-60;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9056886;237;2016-06-21 00:00:00;PM PATIS;01.612.478/0001-35;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9057651;122;2016-06-27 00:00:00;PM SAO JOAO DA PONTE;16.928.483/0001-29;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9058960;706;2016-06-23 00:00:00;PM CONTAGEM;18.715.508/0001-31;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;41;CONTRIBUICOES;1;CONTRIBUICOES;23;FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA - FUNDEB;0,0;0,0;0,0
9058993;245;2016-06-27 00:00:00;PM DIVINO DAS LARANJEIRAS;18.357.079/0001-78;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9071903;74;2016-06-28 00:00:00;PM INHAUMA;18.116.152/0001-10;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072066;270;2016-06-29 00:00:00;PM SANTA MARIA DE ITABIRA;18.299.453/0001-26;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072128;406;2016-06-30 00:00:00;PM ROCHEDO DE MINAS;18.558.080/0001-60;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072138;274;2016-06-29 00:00:00;PM RIO VERMELHO;18.303.255/0001-99;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072577;569;2016-07-01 00:00:00;CIS MICRORREGIAO DO VALE DO ACO/ IPATINGA;00.853.908/0001-48;FES;4291;FUNDO ESTADUAL DE SAUDE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072596;292;2016-06-30 00:00:00;PM SETE LAGOAS;24.996.969/0001-22;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072648;925;2016-11-10 00:00:00;PM UBERABA;18.428.839/0001-90;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;150000,0;0,0
9072651;778;2016-07-01 00:00:00;PM PLANURA;18.449.157/0001-64;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;100000,0;0,0
9072653;313;2020-08-12 00:00:00;PM SANTA VITORIA;18.457.226/0001-81;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072664;556;2016-07-01 00:00:00;PM PARA DE MINAS;18.313.817/0001-85;FES;4291;FUNDO ESTADUAL DE SAUDE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072676;552;2016-07-01 00:00:00;PM SIMONESIA;18.385.120/0001-10;FES;4291;FUNDO ESTADUAL DE SAUDE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072736;565;2016-07-01 00:00:00;PM CAMPOS ALTOS;18.298.190/0001-30;FES;4291;FUNDO ESTADUAL DE SAUDE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072736;567;2016-07-01 00:00:00;PM CAMPOS ALTOS;18.298.190/0001-30;FES;4291;FUNDO ESTADUAL DE SAUDE;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072816;310;2016-07-01 00:00:00;PM BAMBUI;20.920.567/0001-93;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072826;908;2016-11-09 00:00:00;PM CAPINOPOLIS;18.457.234/0001-28;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;50000,0;0,0
9072830;922;2016-11-10 00:00:00;PM LIMA DUARTE;18.338.186/0001-59;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;50000,0;0,0
9072832;914;2016-11-09 00:00:00;PM SANTOS DUMONT;17.747.924/0001-59;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072845;219;2016-07-01 00:00:00;PM SAO ROMAO;24.891.418/0001-02;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9073088;1634;2016-10-06 00:00:00;CONSORCIO INTERMUNICIPAL DE SAUDE DA MACRO REGIAO DO SUL DE MINAS;13.985.869/0001-84;FES;4291;FUNDO ESTADUAL DE SAUDE;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9073088;1635;2016-10-06 00:00:00;CONSORCIO INTERMUNICIPAL DE SAUDE DA MACRO REGIAO DO SUL DE MINAS;13.985.869/0001-84;FES;4291;FUNDO ESTADUAL DE SAUDE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9078269;929;2016-11-10 00:00:00;PM PEDRA BONITA;01.640.429/0001-06;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;50000,0;0,0
9078473;936;2016-11-17 00:00:00;PM SENADOR AMARAL;41.778.556/0001-90;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;140000,0;0,0
9085334;1105;2016-11-24 00:00:00;PM SARDOA;18.307.496/0001-06;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9085411;1108;2016-12-01 00:00:00;PM SANTO ANTONIO DO AVENTUREIRO;17.710.476/0001-19;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9102320;1136;2016-12-19 00:00:00;PM PATIS;01.612.478/0001-35;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9130877;115;2021-12-30 00:00:00;ASSOC. DE PROT. E ASSIST. AOS CONENADOS DE RIO PIRACICABA;09.420.397/0001-45;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;0,0;21835,05;0,0
9130884;58;2021-08-02 00:00:00;ASSOC. DE PROT. E ASSIST. AO CONDENADO DE ARAXA;23.370.836/0001-83;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;27;TAXA DE SEGURANCA PUBLICA;0,0;0,0;0,0
9130889;104;2021-12-28 00:00:00;APAC SETE LAGOAS;04.698.279/0001-80;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;0,0;17025,64;0,0
9130997;24;2020-02-17 00:00:00;ASSOC. DE PROT. E ASSIST. AO CONDENADO DE CANAPOLIS;08.265.593/0001-20;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9130998;116;2021-12-30 00:00:00;ASSOCIACAO DE PROTECAO E ASSISTENCIA AOS CONDENADOS;20.928.032/0001-69;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;0,0;72352,15;0,0
9143486;88;2017-07-12 00:00:00;UNIVERSIDADE FEDERAL DE MINAS GERAIS;17.217.985/0001-04;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9159178;18;2017-09-26 00:00:00;PM MEDINA;18.414.607/0001-83;SEGOV;1491;SECRETARIA DE ESTADO DE GOVERNO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9164545;207;2017-12-20 00:00:00;PM PERDIZES;18.140.772/0001-94;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9170555;555;2017-12-14 00:00:00;PM BRASILANDIA DE MINAS;01.602.009/0001-35;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9171962;215;2017-12-20 00:00:00;PM CAXAMBU;18.008.870/0001-72;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9174212;225;2017-12-21 00:00:00;PM COROMANDEL;18.591.149/0001-58;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9174217;233;2017-12-21 00:00:00;PM BELO HORIZONTE;18.715.383/0001-40;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9174411;984;2017-12-21 00:00:00;PM COUTO DE MAGALHAES DE MINAS;17.754.177/0001-86;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9174421;997;2017-12-21 00:00:00;PM SANTO ANTONIO DO ITAMBE;18.303.222/0001-49;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;0,0;0,0
9174424;996;2017-12-21 00:00:00;PM CORDISBURGO;18.116.137/0001-71;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;54000,0;0,0
9174429;995;2017-12-21 00:00:00;PM ALFREDO VASCONCELOS;26.130.617/0001-15;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;0,0;0,0
9174443;985;2017-12-21 00:00:00;PM RUBELITA;24.363.590/0001-85;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;60000,0;0,0
9174444;989;2017-12-21 00:00:00;PM ENGENHEIRO NAVARRO;17.697.152/0001-98;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9174568;1002;2017-12-21 00:00:00;PM SIMONESIA;18.385.120/0001-10;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;0,0;0,0
9174627;1005;2017-12-21 00:00:00;PM ANTONIO CARLOS;18.094.763/0001-04;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;0,0;0,0
9174633;1004;2017-12-21 00:00:00;PM ANTONIO DIAS;16.796.575/0001-00;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;21000,0;0,0
9174644;1024;2017-12-26 00:00:00;PM SAO JOAO DA LAGOA;01.612.494/0001-28;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;45000,0;0,0
9174645;1019;2017-12-26 00:00:00;PM MINAS NOVAS;22.516.405/0001-10;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;150000,0;0,0
9174646;1017;2017-12-26 00:00:00;PM SAO DOMINGOS DO PRATA;18.401.018/0001-60;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;0,0;0,0
9174648;1020;2017-12-26 00:00:00;PM ARACUAI;17.963.083/0001-17;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;90000,0;0,0
9174696;1021;2017-12-26 00:00:00;PM ARACUAI;17.963.083/0001-17;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;43800,0;0,0
9174714;1023;2017-12-26 00:00:00;PM SAO TOME DAS LETRAS;18.008.920/0001-11;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9174715;1022;2017-12-26 00:00:00;PM ARACUAI;17.963.083/0001-17;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;45000,0;0,0
9174830;243;2017-12-22 00:00:00;PM CONSELHEIRO LAFAIETE;19.718.360/0001-51;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9174840;7;2017-12-28 00:00:00;ASSOCIACAO DOS CONDOMINIOS HORIZONTAIS;07.429.321/0001-55;FUNDIF;4421;FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;39;MULTAS PECUNIARIAS E JUROS DE MORA FIXADOS EM SENTENCAS JUDICIAIS;0,0;0,0;0,0
9174849;9;2017-12-28 00:00:00;FUNDACAO EDUCACIONAL COMUNITARIA FORMIGUENSE;20.501.128/0001-46;FUNDIF;4421;FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;39;MULTAS PECUNIARIAS E JUROS DE MORA FIXADOS EM SENTENCAS JUDICIAIS;0,0;0,0;0,0
9174849;10;2017-12-28 00:00:00;FUNDACAO EDUCACIONAL COMUNITARIA FORMIGUENSE;20.501.128/0001-46;FUNDIF;4421;FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS;42;AUXILIOS;1;AUXILIOS;39;MULTAS PECUNIARIAS E JUROS DE MORA FIXADOS EM SENTENCAS JUDICIAIS;0,0;0,0;0,0
9174860;1010;2017-12-22 00:00:00;PM BOM DESPACHO;18.301.002/0001-86;SECULT;1271;SECRETARIA DE ESTADO DE CULTURA E TURISMO;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9174929;5;2017-12-28 00:00:00;MITRA DIOCESANA DE OLIVEIRA;18.552.828/0006-22;FUNDIF;4421;FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;39;MULTAS PECUNIARIAS E JUROS DE MORA FIXADOS EM SENTENCAS JUDICIAIS;0,0;0,0;0,0
9175610;1014;2017-12-26 00:00:00;PM SALTO DA DIVISA;18.347.401/0001-88;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;0,0;0,0
9175759;1015;2017-12-26 00:00:00;PM ERVALIA;18.133.306/0001-81;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;30000,0;0,0
9175760;1013;2017-12-26 00:00:00;PM ICARAI DE MINAS;25.224.304/0001-63;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;60000,0;0,0
9175860;1016;2017-12-26 00:00:00;PM LAGAMAR;18.192.260/0001-71;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;60000,0;0,0
9175862;1028;2017-12-26 00:00:00;PM PAPAGAIOS;18.313.866/0001-18;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;150000,0;0,0
