contratoconvenio_saida;numero_empenho;data_registro_doc_empenho;razao_social_credor;cnpj_cpf_credor_formatado;unidade_orcamentaria_codigo;unidade_orcamentaria_sigla;unidade_orcamentaria_nome;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro
9261083;3;2025-04-04 00:00:00;ASSOC. DE PROT. E ASSIST. AO CONDENADO DE ALFENAS;04.926.925/0001-19;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;363223,11;363223,11;363223,11
9261083;50;2025-04-15 00:00:00;ASSOC. DE PROT. E ASSIST. AO CONDENADO DE ALFENAS;04.926.925/0001-19;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;677553,35;677553,35;677553,35
9262900;1107;2025-04-22 00:00:00;ATA CIDADANIA;07.304.229/0001-69;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;190762,92;190762,92;190762,92
9262900;1523;2025-08-07 00:00:00;ATA CIDADANIA;07.304.229/0001-69;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;95381,46;95381,46;95381,46
9274491;750;2025-10-03 00:00:00;ASSOCIACAO ESCOLA FAMILIA AGRICOLA DE NATALANDIA;07.395.381/0001-02;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;11863529,02;11863529,02;11863529,02
9279539;751;2025-10-03 00:00:00;ASS. COMUN. DE DESEL. EDUC. FAMILIAR E AGROP. DE VEREDINHA;05.743.998/0001-38;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1656105,48;1656105,48;1656105,48
9279766;793;2025-10-21 00:00:00;ASSOCIACA ESCOLA FAMILIA AGRICOLA PURIS DE ARAPONGA;01.529.208/0001-65;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1063178,83;1063178,83;1063178,83
9279884;753;2025-10-03 00:00:00;AEFA DE CRUZILIA;05.586.859/0001-48;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;2423203,76;2423203,76;2423203,76
9280525;754;2025-10-03 00:00:00;ASSOCIACAO EFA DE CARAI, CATUJI, ITAIPE E LADAINHA;11.562.703/0001-20;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1492539,51;1492539,51;1492539,51
9280731;791;2025-10-21 00:00:00;ASSOCIACAO ESCOLA FAMILIA AGRICOLA DE COMERCINHO;22.692.198/0001-54;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;692053,55;692053,55;692053,55
