contratoconvenio_saida;numero_empenho;data_registro_doc_empenho;razao_social_credor;cnpj_cpf_credor_formatado;unidade_orcamentaria_codigo;unidade_orcamentaria_sigla;unidade_orcamentaria_nome;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro
9280733;790;2025-10-21 00:00:00;MOV. PRO-ESCOLA FAMILIA AGRIC. VALE DO JEQUITINHONHA;22.695.209/0001-50;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;735835,69;735835,69;735835,69
9281647;786;2025-10-17 00:00:00;ASSOCIACAO ESCOLA FAMILIA AGRICOLA DA REGIAO DO VALE DO SAO FRANCISCO;07.355.853/0001-95;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;5990603,78;5990603,78;5990603,78
9281662;767;2025-10-07 00:00:00;ASSOCIACAO ESCOLA FAMILIA AGRICOLA DE JACARE;00.853.943/0001-67;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;736739,84;736739,84;736739,84
9281663;784;2025-10-17 00:00:00;ASSOCIACAO ESCOLA FAMILIA AGROECOLOGICA DE ARACUAI;02.653.355/0001-05;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1144961,81;1144961,81;1144961,81
9282809;787;2025-10-17 00:00:00;ASSOCIACAO EFA OESTE DO MUCURI;11.211.251/0001-31;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;2351260,87;2351260,87;2351260,87
9282810;785;2025-10-17 00:00:00;ASSOCIACAO ESCOLA FAMILIA AGRICOLA DE JEQUERI;03.998.794/0001-12;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;891779,06;891779,06;891779,06
9282811;803;2025-11-04 00:00:00;ASSOCIACAO DA ESCOLA FAMILIA AGRICOLA DE CAMOES;02.908.563/0001-08;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;477221,41;477221,41;477221,41
9282814;792;2025-10-21 00:00:00;ASSOCIACAO ESCOLA FAMILIA AGRICOLA DO ALTO DO RIO PARDO;13.234.016/0001-00;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;2085466,16;2085466,16;2085466,16
9282815;796;2025-10-22 00:00:00;ASSOC ESC FAMILIA AGRICOLA BAIXO MUCURI;28.963.034/0001-09;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;3496222,68;3496222,68;3496222,68
9282896;764;2025-10-07 00:00:00;AEFA PAULO FREIRE;05.527.283/0001-48;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;470252,17;470252,17;470252,17
9282922;788;2025-10-21 00:00:00;ASSOCIACAO ESCOLA FAMILIA AGRICOLA DE ERVALIA;05.765.786/0001-51;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;637527,16;637527,16;637527,16
9283126;766;2025-10-07 00:00:00;ASSOCIACAO REGIONAL ESCOLA FAMILIA AGRICOLA CARLOS SAAR;18.904.432/0001-92;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;432607,71;432607,71;432607,71
9283228;765;2025-10-07 00:00:00;ASSOCIACAO ESCOLA FAMILIA AGRICOLA DO MEDIO E BAIXO JEQUITINHONHA;03.593.777/0001-03;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;2719284,31;2719284,31;2719284,31
9283237;799;2025-10-29 00:00:00;ASSOCIACAO REGIONAL ESCOLA FAMILIA AGRICOLA MARGARIDA ALVES;09.604.761/0001-27;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1063178,83;1063178,83;1063178,83
9286353;752;2025-10-03 00:00:00;ASSOCIACAO ESCOLA FAMILIA AGRICOLA RENASCER;07.776.325/0001-00;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;508503,8;508503,8;508503,8
9301439;1724;2025-08-14 00:00:00;ASSOCIACAO CENTRO DE EDUCACAO TECNOLOGICA DO ESTADO DA BAHIA;02.663.026/0001-45;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;85;CONTRATO DE GESTAO;1;CONTRATO DE GESTAO COM ORGANIZACAO SOCIAL - OS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;2049803,28;2049803,28;2049803,28
9301441;254;2025-11-24 00:00:00;ASSOCIACAO CENTRO DE EDUCACAO TECNOLOGICA DO ESTADO DA BAHIA;02.663.026/0001-45;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;85;CONTRATO DE GESTAO;1;CONTRATO DE GESTAO COM ORGANIZACAO SOCIAL - OS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;2406537,0;2406537,0;2406537,0
9301442;215;2025-10-06 00:00:00;ASSOCIACAO CENTRO DE EDUCACAO TECNOLOGICA DO ESTADO DA BAHIA;02.663.026/0001-45;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;85;CONTRATO DE GESTAO;1;CONTRATO DE GESTAO COM ORGANIZACAO SOCIAL - OS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;1339167,06;1339167,06;1339167,06
9318094;38;2025-06-18 00:00:00;ASSOCIACAO COMUNIDADE TERAPEUTICA MAES & FILHOS;17.246.772/0001-00;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;43027,32;43027,32;43027,32
9318105;49;2025-06-23 00:00:00;COMUNIDADE REVIVER;26.232.447/0002-60;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;85935,41;85935,41;85935,41
9318105;110;2025-12-02 00:00:00;COMUNIDADE REVIVER;26.232.447/0002-60;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;56217,82;56217,82;56217,82
9318117;47;2025-06-23 00:00:00;ASSOCIACAO MAE ADMIRAVEL;22.691.398/0001-92;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;63190,15;63190,15;63190,15
9318117;106;2025-11-27 00:00:00;ASSOCIACAO MAE ADMIRAVEL;22.691.398/0001-92;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;106804,59;106804,59;106804,59
9318121;53;2025-06-26 00:00:00;ASSOCIACAO COMUNITARIA DE PREVENCAO AO USO INDEVIDO DE DROGAS;03.015.043/0001-39;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;14554,55;14554,55;14554,55
9318123;67;2025-06-26 00:00:00;SER SERVICO EVANGELICO DE REABILITACAO;20.734.505/0002-78;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;84968,88;84968,88;84968,88
9318123;143;2025-12-19 00:00:00;SER SERVICO EVANGELICO DE REABILITACAO;20.734.505/0002-78;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;14524,37;14524,37;14524,37
9318125;144;2025-12-19 00:00:00;FUNDACAO MARIANENSE DE EDUCACAO;22.390.686/0001-07;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;5769,86;5769,86;5769,86
9318128;43;2025-06-18 00:00:00;COMUNIDADE TERAPEUTICA FAMILIA EM CRISTO;19.215.751/0001-53;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;62362,71;62362,71;62362,71
9318129;148;2025-12-24 00:00:00;GRUPO SALVA VIDAS;23.098.718/0003-20;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;13475,28;13475,28;0,0
9318133;55;2025-06-26 00:00:00;ASSOCIACAO GRUPO SARAI;03.782.573/0001-02;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;67389,62;67389,62;67389,62
9318133;142;2025-12-19 00:00:00;ASSOCIACAO GRUPO SARAI;03.782.573/0001-02;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;89045,45;89045,45;89045,45
9318134;41;2025-06-18 00:00:00;C.R.J.F.C.D.-CENTRO DE RECUPERACAO JUIZ DE FORA CONTRA AS DROGAS;05.467.433/0001-75;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;85298,49;85298,49;85298,49
9318134;104;2025-11-19 00:00:00;C.R.J.F.C.D.-CENTRO DE RECUPERACAO JUIZ DE FORA CONTRA AS DROGAS;05.467.433/0001-75;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;87732,82;87732,82;87732,82
9318145;66;2025-06-26 00:00:00;SER SERVICO EVANGELICO DE REABILITACAO;20.734.505/0003-59;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;0,0;0,0
9318145;70;2025-07-31 00:00:00;SER SERVICO EVANGELICO DE REABILITACAO;20.734.505/0003-59;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;81470,22;81470,22;81470,22
9318145;152;2025-12-26 00:00:00;SER SERVICO EVANGELICO DE REABILITACAO;20.734.505/0003-59;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;49854,83;49854,83;49854,83
9318146;46;2025-06-18 00:00:00;OBRAS SOCIAIS AGUA VIVA;06.951.814/0001-98;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;86954,0;86954,0;86954,0
9318146;116;2025-12-15 00:00:00;OBRAS SOCIAIS AGUA VIVA;06.951.814/0001-98;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;9151,13;9151,13;9151,13
9318149;64;2025-06-26 00:00:00;COMVIDA - COMUNIDADE TERAPEUTICA FAZENDA VIDA NOVA;02.970.363/0001-85;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;57105,21;57105,21;57105,21
9318149;112;2025-12-10 00:00:00;COMVIDA - COMUNIDADE TERAPEUTICA FAZENDA VIDA NOVA;02.970.363/0001-85;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;63495,81;63495,81;63495,81
9318151;44;2025-06-18 00:00:00;FUNDACAO MARIANENSE DE EDUCACAO;22.390.686/0006-11;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;43662,63;43662,63;43662,63
9318151;119;2025-12-15 00:00:00;FUNDACAO MARIANENSE DE EDUCACAO;22.390.686/0006-11;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;8251,02;8251,02;8251,02
9318152;21;2025-04-04 00:00:00;ESQUADRAO DA VIDA DE MONTES CLAROS;25.224.130/0001-39;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;25116,74;25116,74;25116,74
9318152;33;2025-06-17 00:00:00;ESQUADRAO DA VIDA DE MONTES CLAROS;25.224.130/0001-39;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;77103,18;77103,18;77103,18
9318152;87;2025-10-03 00:00:00;ESQUADRAO DA VIDA DE MONTES CLAROS;25.224.130/0001-39;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;62798,27;62798,27;62798,27
9318155;36;2025-06-18 00:00:00;ACAO SOCIAL CENTRO DE REINTEGRACAO A SOCIEDADE MAIS QUE VENCEDORES;16.801.598/0001-58;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;78690,62;78690,62;78690,62
9318155;94;2025-10-15 00:00:00;ACAO SOCIAL CENTRO DE REINTEGRACAO A SOCIEDADE MAIS QUE VENCEDORES;16.801.598/0001-58;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;40101,0;40101,0;40101,0
9318155;97;2025-11-07 00:00:00;ACAO SOCIAL CENTRO DE REINTEGRACAO A SOCIEDADE MAIS QUE VENCEDORES;16.801.598/0001-58;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;40100,99;40100,99;40100,99
9318246;30;2025-05-12 00:00:00;SER - SERVICO EVANGELICO DE REABILITACAO DE ARAGUARI;03.424.768/0001-80;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;31815,81;31815,81;31815,81
9318246;32;2025-06-17 00:00:00;SER - SERVICO EVANGELICO DE REABILITACAO DE ARAGUARI;03.424.768/0001-80;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;82015,62;82015,62;82015,62
9318341;39;2025-06-18 00:00:00;ASSOCIACAO CRISTA BANCO DA SOLIDARIEDADE;10.320.290/0001-04;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;74292,7;74292,7;74292,7
9318341;109;2025-12-02 00:00:00;ASSOCIACAO CRISTA BANCO DA SOLIDARIEDADE;10.320.290/0001-04;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;94926,71;94926,71;94926,71
9318347;40;2025-06-18 00:00:00;COMUNIDADE TERAPEUTICA CASA DIA;04.970.973/0001-04;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;51924,31;51924,31;51924,31
9318347;102;2025-11-18 00:00:00;COMUNIDADE TERAPEUTICA CASA DIA;04.970.973/0001-04;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;41467,53;41467,53;41467,53
9318350;63;2025-06-26 00:00:00;COMUNIDADE TERAPEUTICA FILHOS DO REI;13.134.031/0001-87;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;52169,09;52169,09;52169,09
9318441;48;2025-06-23 00:00:00;CENTRO DE REINTEGRACAO SOCIAL BEIJA-FLOR;04.327.366/0002-01;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;84588,24;84588,24;84588,24
9318481;60;2025-06-26 00:00:00;CEAMI - REABILITACAO PARA A VIDA;03.744.116/0001-23;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;81854,4;81854,4;81854,4
9318532;65;2025-06-26 00:00:00;COMUNIDADE TERAPEUTICA ETM;09.405.431/0001-02;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;93634,48;93634,48;93634,48
