numero_siafi;codigo_orgao;unidade_orcamentaria_nome;ano_empenho;numero_empenho;data_registro_doc_empenho;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;razao_social_proponente;cnpj_proponente;valor_pago_financeiro
743622;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;90;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC JOSE DA COSTA NEVES;19.633.015/0001-15;59408,0
743623;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;630;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC PE JOSE EPIFANIO GONCALVES;19.897.859/0001-73;53799,0
743624;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;49;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC TENENTE MOL;19.897.990/0001-30;50578,59
743625;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;28;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC SENADOR ANTONIO MARTINS;19.383.090/0001-75;93694,94
743626;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;634;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC GEORGETA MARINHO S. CAMARA;19.898.089/0001-83;42923,0
743627;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;41;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC. DO BAIRRO SANTO ANTONIO;20.011.193/0001-93;94828,73
743628;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;10;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC MARIA DOS ANJOS ALVES LUCAS;00.781.144/0001-22;43228,0
743629;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;5;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC VALMIR ALVES DE OLIVEIRA;00.719.541/0001-74;37643,0
743630;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;40;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC BELARMINO DOS SANTOS;01.785.632/0001-70;58266,53
743631;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;89;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC JUSCELINO KUBITSCHEK DE OLIVEIRA;21.898.044/0001-50;153783,26
743632;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;43;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CE CARLOS DRUMOND DE ANDRADE;38.736.385/0001-22;122612,82
743633;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;962;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC CEL. MANOEL SOARES DO COUTO;19.892.942/0001-50;96581,0
743634;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;1052;2026-03-11;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC CONS. AFONSO  PENA;19.740.869/0001-09;20259,25
743634;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;1501;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC CONS. AFONSO  PENA;19.740.869/0001-09;94771,0
743635;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;1498;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC DR. ORESTES DINIZ;19.840.271/0001-83;86083,0
743636;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;1427;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC ADELGICIO FERREIRA DE MATOS;19.134.154/0001-02;76814,0
743637;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;1503;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC SEBASTINA SOARES LIMA;19.134.626/0001-19;78085,0
743638;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;34;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CE ILKA MARIA MUNHOZ GURGEL;65.140.451/0001-70;24507,0
743639;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;82;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC HUGO GONTIJO;20.462.404/0001-04;89264,22
743640;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;50;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC LAGONEGRO;20.185.310/0001-35;83550,76
743641;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;639;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC EFFIE ROLFS;19.672.229/0001-09;101379,0
743642;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;429;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC FRANCISCO RIBEIRO DE CARVALHO;19.664.630/0001-99;72725,0
743643;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;728;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC.ADOLFINO FRANCISCO DA SILVA;20.055.521/0001-53;29783,0
743644;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;283;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC PERDIZES;19.921.329/0001-13;89909,0
743645;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;50;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC DA EE INDIGENA XUKURANK;04.107.229/0001-80;58705,93
743646;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;373;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC VIRGINIA MARCONDES ESCOBAR;19.707.835/0001-04;78189,0
743647;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;374;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CE. PROFA NADINE F MORAIS MAEDA;25.650.599/0001-30;19512,0
743648;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;366;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CE. ADOLFO JONAS DA SILVA;41.779.620/0001-58;34265,0
